type,created_at,date_string,data
uberX,1453726800,2016-01-25 07:00,"{'surge_rate': '1.0', 'eta': '2.0 to 3.5', 'type': 'uberX', 'request_time': '1453726800', 'request_id': '481e6728-c5da-11e5-ade6-6c40089af1d0'}"
train,1453726801,2016-01-25 07:00,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453726801', 'eta': '1.0', 'stop_name': 'California', 'type': 'train'}"
weather,1453726801,2016-01-25 07:00,"{'date': '1453726801', 'weather': 'Overcast', 'type': 'weather', 'feels_like': '27.6666666667 to 32.5'}"
train,1453726945,2016-01-25 07:02,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453726945', 'eta': '15.0 to 18.5', 'stop_name': 'California', 'type': 'train'}"
train,1453726957,2016-01-25 07:02,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453726957', 'eta': '1.0 to 4.5', 'stop_name': 'California', 'type': 'train'}"
train,1453727017,2016-01-25 07:03,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453727017', 'eta': '19.0', 'stop_name': 'Damen', 'type': 'train'}"
bus,1453727100,2016-01-25 07:05,"{'direction': 'Northbound', 'route': '52', 'delayed': '0', 'requested_time': '1453727100', 'eta': '20.6666666667 to 25.8333333333', 'stop_name': 'California & Le Moyne', 'type': 'bus'}"
train,1453727101,2016-01-25 07:05,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453727101', 'eta': '5.5 to 10.0', 'stop_name': 'Damen', 'type': 'train'}"
bus,1453727220,2016-01-25 07:07,"{'direction': 'Eastbound', 'route': '72', 'delayed': '0', 'requested_time': '1453727220', 'eta': '5.16666666667 to 10.3333333333', 'stop_name': 'North Ave & California', 'type': 'bus'}"
bus,1453727220,2016-01-25 07:07,"{'direction': 'Northbound', 'route': '52', 'delayed': '0', 'requested_time': '1453727220', 'eta': '5.16666666667 to 10.3333333333', 'stop_name': 'California & Le Moyne', 'type': 'bus'}"
train,1453727257,2016-01-25 07:07,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453727257', 'eta': '5.5 to 10.0', 'stop_name': 'Damen', 'type': 'train'}"
train,1453727312,2016-01-25 07:08,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453727312', 'eta': '8.0 to 11.5', 'stop_name': 'California', 'type': 'train'}"
bus,1453727400,2016-01-25 07:10,"{'direction': 'Eastbound', 'route': '72', 'delayed': '0', 'requested_time': '1453727400', 'eta': '10.3333333333 to 15.5', 'stop_name': 'North Ave & California', 'type': 'bus'}"
train,1453727612,2016-01-25 07:13,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453727612', 'eta': '10.0 to 14.5', 'stop_name': 'Damen', 'type': 'train'}"
train,1453727614,2016-01-25 07:13,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453727614', 'eta': '11.5 to 15.0', 'stop_name': 'California', 'type': 'train'}"
train,1453727700,2016-01-25 07:15,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453727700', 'eta': '1.0', 'stop_name': 'California', 'type': 'train'}"
uberX,1453727700,2016-01-25 07:15,"{'surge_rate': '1.0', 'eta': '2.0', 'type': 'uberX', 'request_time': '1453727700', 'request_id': '72659d70-c6a3-11e5-a871-6c40089af1d0'}"
bus,1453727760,2016-01-25 07:16,"{'direction': 'Northbound', 'route': '52', 'delayed': '0', 'requested_time': '1453727760', 'eta': '15.5 to 20.6666666667', 'stop_name': 'California & Le Moyne', 'type': 'bus'}"
bus,1453727760,2016-01-25 07:16,"{'direction': 'Northbound', 'route': '52', 'delayed': '0', 'requested_time': '1453727760', 'eta': '0.0 to 5.16666666667', 'stop_name': 'California & Le Moyne', 'type': 'bus'}"
train,1453727818,2016-01-25 07:16,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453727818', 'eta': '1.0 to 4.5', 'stop_name': 'California', 'type': 'train'}"
bus,1453727820,2016-01-25 07:17,"{'direction': 'Eastbound', 'route': '72', 'delayed': '0', 'requested_time': '1453727820', 'eta': '0.0 to 5.16666666667', 'stop_name': 'North Ave & California', 'type': 'bus'}"
train,1453727832,2016-01-25 07:17,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453727832', 'eta': '15.0 to 18.5', 'stop_name': 'California', 'type': 'train'}"
train,1453727914,2016-01-25 07:18,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453727914', 'eta': '19.0', 'stop_name': 'Damen', 'type': 'train'}"
train,1453728000,2016-01-25 07:20,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453728000', 'eta': '5.5 to 10.0', 'stop_name': 'Damen', 'type': 'train'}"
