requested_time,route,direction,stop_name,eta,delayed
1453297140,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453297200,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453297260,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453297260,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453297200,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453297200,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453297260,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453297980,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453298940,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453299360,72,Eastbound,North Ave & California,1.0,0
1453299600,72,Eastbound,North Ave & California,6.0,0
1453300200,72,Eastbound,North Ave & California,1.0,0
1453301520,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453302960,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453303320,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453304220,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453304940,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453305300,72,Eastbound,North Ave & California,11.0,0
1453306260,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453306500,72,Eastbound,North Ave & California,1.0,0
1453307280,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453307520,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453308540,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453308600,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453309860,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453311180,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453311180,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453311240,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453312440,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453381440,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453381740,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453382220,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453382460,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453383600,72,Eastbound,North Ave & California,11.0,0
1453383660,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453384380,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453384980,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453385100,72,Eastbound,North Ave & California,6.0,0
1453385940,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453386000,72,Eastbound,North Ave & California,6.0,0
1453386840,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453386900,72,Eastbound,North Ave & California,6.0,0
1453387680,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453388520,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453389300,72,Eastbound,North Ave & California,1.0,0
1453390560,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453390980,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453392060,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453392240,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453392540,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453393440,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453394040,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453394940,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453395240,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453396320,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453396740,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453397520,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453397520,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453398420,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453398540,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453398840,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453467840,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453468320,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453468680,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453469040,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453469640,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453469700,72,Eastbound,North Ave & California,6.0,0
1453470540,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453470780,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453471440,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453471620,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453472160,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453473600,72,Eastbound,North Ave & California,11.0,0
1453474200,72,Eastbound,North Ave & California,6.0,0
1453474980,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453475880,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453477200,72,Eastbound,North Ave & California,11.0,0
1453477800,72,Eastbound,North Ave & California,6.0,0
1453479180,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453479780,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453480320,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453480440,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453481340,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453481760,72,Eastbound,North Ave & California,11.0,0
1453482540,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453483440,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453483860,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453484040,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453484640,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453485120,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453554840,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453555620,72,Eastbound,North Ave & California,26.0 to 31.0,0
1453554960,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453555740,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453555860,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453556520,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453557660,72,Eastbound,North Ave & California,16.0,0
1453557780,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453558560,72,Eastbound,North Ave & California,16.0,0
1453558620,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453559520,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453559460,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453560360,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453560840,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453561800,72,Eastbound,North Ave & California,11.0,0
1453562640,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453563060,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453563960,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453563960,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453564740,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453565340,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453566300,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453566840,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453566840,72,Eastbound,North Ave & California,6.0,0
1453567560,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453568160,72,Eastbound,North Ave & California,11.0,0
1453569300,72,Eastbound,North Ave & California,16.0,0
1453569360,72,Eastbound,North Ave & California,1.0,0
1453569960,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453571040,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453571100,72,Eastbound,North Ave & California,1.0,0
1453571280,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453641180,72,Eastbound,North Ave & California,26.0 to 31.0,0
1453640940,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453642560,72,Eastbound,North Ave & California,21.0 to 26.0,0
1453642680,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453643640,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453644840,72,Eastbound,North Ave & California,26.0 to 31.0,0
1453644900,72,Eastbound,North Ave & California,16.0,0
1453644960,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453645920,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453645980,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453647180,72,Eastbound,North Ave & California,21.0 to 26.0,0
1453647300,72,Eastbound,North Ave & California,11.0,0
1453648380,72,Eastbound,North Ave & California,26.0 to 31.0,0
1453648320,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453649340,72,Eastbound,North Ave & California,26.0 to 31.0,0
1453649340,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453649640,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453650300,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453651200,72,Eastbound,North Ave & California,16.0,0
1453652100,72,Eastbound,North Ave & California,31.0,0
1453652100,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453652280,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453653420,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453653780,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453654860,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453654920,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453655700,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453656600,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453656660,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453657380,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453658100,72,Eastbound,North Ave & California,11.0,0
1453727220,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453727400,72,Eastbound,North Ave & California,11.0,0
1453727820,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453728060,72,Eastbound,North Ave & California,6.0,0
1453729080,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453729140,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453729920,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453730400,72,Eastbound,North Ave & California,1.0,0
1453730700,72,Eastbound,North Ave & California,6.0,0
1453731360,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453731540,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453732260,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453732320,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453733280,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453734240,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453734900,72,Eastbound,North Ave & California,1.0,0
1453736220,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453736760,72,Eastbound,North Ave & California,1.0 to 6.0,0
