utc_timestamp,date_string,California_train,weather,feels_like,tweet,Damen_train,uber_surging,uber_eta,72_bus,52_bus
1453726801,2016-01-25 07:00,1.0,Overcast,27.6666666667 to 32.5,0,19.0,1.0,2.0 to 3.5,5.16666666667 to 10.3333333333,20.6666666667 to 25.8333333333
1453727702,2016-01-25 07:15,1.0,Overcast,27.6666666667 to 32.5,0,10.0 to 14.5,1.0,2.0,0.0 to 5.16666666667,15.5 to 20.6666666667
1453728603,2016-01-25 07:30,1.0,Overcast,27.6666666667 to 32.5,0,10.0 to 14.5,1.0,3.5 to 5.0,5.16666666667 to 10.3333333333,10.3333333333 to 15.5
1453729504,2016-01-25 07:45,1.0,Overcast,27.6666666667 to 32.5,0,14.5 to 19.0,1.0,3.5 to 5.0,5.16666666667 to 10.3333333333,10.3333333333 to 15.5
1453730401,2016-01-25 08:00,15.0 to 18.5,Overcast,27.6666666667 to 32.5,0,1.0,1.0,5.0,0.0 to 5.16666666667,15.5 to 20.6666666667
1453731302,2016-01-25 08:15,1.0,Overcast,27.6666666667 to 32.5,0,1.0 to 5.5,1.0,5.0,0.0 to 5.16666666667,10.3333333333 to 15.5
1453732203,2016-01-25 08:30,15.0 to 18.5,Overcast,32.5 to 37.3333333333,0,1.0 to 5.5,1.0,3.5 to 5.0,0.0 to 5.16666666667,0.0 to 5.16666666667
1453733104,2016-01-25 08:45,1.0,Overcast,32.5 to 37.3333333333,0,14.5 to 19.0,1.0,3.5 to 5.0,0.0 to 5.16666666667,5.16666666667 to 10.3333333333
1453734001,2016-01-25 09:00,1.0,Mostly Cloudy,32.5 to 37.3333333333,0,1.0 to 5.5,1.0,3.5 to 5.0,0.0 to 5.16666666667,5.16666666667 to 10.3333333333
1453734902,2016-01-25 09:15,1.0 to 4.5,Mostly Cloudy,32.5 to 37.3333333333,0,14.5 to 19.0,1.3 to 1.45,3.5 to 5.0,0.0 to 5.16666666667,0.0 to 5.16666666667
1453735803,2016-01-25 09:30,1.0 to 4.5,Mostly Cloudy,32.5 to 37.3333333333,0,14.5 to 19.0,1.3,6.5 to 8.0,5.16666666667 to 10.3333333333,15.5 to 20.6666666667
1453736704,2016-01-25 09:45,1.0 to 4.5,Mostly Cloudy,32.5 to 37.3333333333,0,10.0 to 14.5,1.0,5.0,0.0 to 5.16666666667,0.0 to 5.16666666667
1453737601,2016-01-25 10:00,11.5 to 15.0,Overcast,32.5 to 37.3333333333,0,14.5 to 19.0,1.0,2.0,10.3333333333 to 15.5,0.0 to 5.16666666667
1453738502,2016-01-25 10:15,1.0 to 4.5,Overcast,32.5 to 37.3333333333,0,1.0 to 5.5,1.0,3.5 to 5.0,0.0 to 5.16666666667,15.5 to 20.6666666667
1453739403,2016-01-25 10:30,15.0,Overcast,37.3333333333 to 42.1666666667,0,5.5 to 10.0,1.0,5.0,5.16666666667 to 10.3333333333,15.5 to 20.6666666667
1453740304,2016-01-25 10:45,11.5 to 15.0,Overcast,37.3333333333 to 42.1666666667,0,19.0,1.3 to 1.45,6.5 to 8.0,15.5 to 20.6666666667,5.16666666667 to 10.3333333333
1453741201,2016-01-25 11:00,15.0,Overcast,37.3333333333 to 42.1666666667,0,10.0 to 14.5,1.15 to 1.3,5.0,0.0 to 5.16666666667,10.3333333333 to 15.5
1453742102,2016-01-25 11:15,1.0,Overcast,37.3333333333 to 42.1666666667,0,14.5 to 19.0,1.15 to 1.3,5.0,10.3333333333 to 15.5,5.16666666667 to 10.3333333333
1453743003,2016-01-25 11:30,15.0,Overcast,37.3333333333 to 42.1666666667,0,5.5 to 10.0,1.0,3.5 to 5.0,15.5 to 20.6666666667,10.3333333333 to 15.5
1453743904,2016-01-25 11:45,1.0 to 4.5,Overcast,37.3333333333 to 42.1666666667,0,19.0,1.15 to 1.3,6.5 to 8.0,5.16666666667 to 10.3333333333,25.8333333333 to 31.0
1453813202,2016-01-26 07:00,15.0 to 18.5,Overcast,22.8333333333 to 27.6666666667,0,14.5 to 19.0,1.0,3.5 to 5.0,0.0 to 5.16666666667,0.0 to 5.16666666667
1453814103,2016-01-26 07:15,1.0,Overcast,22.8333333333 to 27.6666666667,0,10.0 to 14.5,1.0,3.5 to 5.0,5.16666666667 to 10.3333333333,0.0 to 5.16666666667
1453815004,2016-01-26 07:30,15.0 to 18.5,Overcast,22.8333333333 to 27.6666666667,0,1.0 to 5.5,1.0,3.5 to 5.0,5.16666666667 to 10.3333333333,5.16666666667 to 10.3333333333
1453815905,2016-01-26 07:45,1.0,Overcast,22.8333333333 to 27.6666666667,0,14.5 to 19.0,1.6,2.0 to 3.5,0.0 to 5.16666666667,15.5 to 20.6666666667
1453816801,2016-01-26 08:00,1.0,Overcast,22.8333333333 to 27.6666666667,0,1.0,1.6,2.0 to 3.5,0.0 to 5.16666666667,10.3333333333 to 15.5
