request_time,request_id,surge_rate,eta
1454166000,609f669c-c5dc-11e5-aa12-6c40089af1d0,1.0,3.5 to 5.0
1453726800,481e6728-c5da-11e5-ade6-6c40089af1d0,1.0,2.0 to 3.5
1453913100,172f5ac5-c435-11e5-afd0-6c40089af1d0,1.0,5.0 to 6.5
1453914000,969c76d7-c690-11e5-9c98-6c40089af1d0,1.0,3.5 to 5.0
1454166900,b38cd0e1-ca84-11e5-8faf-6c40089af1d0,1.9,3.5 to 5.0
1454168700,eb9aada3-c822-11e5-bae9-6c40089af1d0,1.0,5.0
1454169600,6556d42b-c9ce-11e5-b36e-6c40089af1d0,1.0,2.0 to 3.5
1453743000,d41c4233-c6ab-11e5-b88c-6c40089af1d0,1.0,3.5 to 5.0
1453903200,c73e44a6-c835-11e5-a712-6c40089af1d0,1.0,2.0
1453990500,deb05d73-c9ac-11e5-b497-6c40089af1d0,1.0,2.0 to 3.5
1453916700,b588a58a-c42c-11e5-b9e9-6c40089af1d0,1.0,5.0
1453727700,72659d70-c6a3-11e5-a871-6c40089af1d0,1.0,2.0
1453728600,7dd1d914-c9d0-11e5-a59f-6c40089af1d0,1.0,3.5 to 5.0
1454418000,6d8b429e-c452-11e5-9475-6c40089af1d0,1.0,5.0 to 6.5
1454175900,915674dc-c5e0-11e5-bbb5-6c40089af1d0,1.0,2.0 to 3.5
1454419800,dff81c23-c696-11e5-99bc-6c40089af1d0,1.0,5.0
1454421600,34db928a-c9ca-11e5-a3a5-6c40089af1d0,1.0,2.0
1453731300,ecb57528-c6ad-11e5-9399-6c40089af1d0,1.0,5.0
1454423400,5a6f7b0c-c500-11e5-9018-6c40089af1d0,1.0,2.0 to 3.5
1454424300,e4fab5ee-ca88-11e5-b4bf-6c40089af1d0,1.6 to 1.75,3.5 to 5.0
1453732200,2980b8de-c69d-11e5-a7b1-6c40089af1d0,1.0,3.5 to 5.0
1453733100,f8169d6e-c4f7-11e5-9fe1-6c40089af1d0,1.0,3.5 to 5.0
1453734000,03835868-c9c6-11e5-bd36-6c40089af1d0,1.0,3.5 to 5.0
1453734900,293769eb-c4fc-11e5-a9cc-6c40089af1d0,1.3 to 1.45,3.5 to 5.0
1453735800,cde71735-c5cf-11e5-a21e-6c40089af1d0,1.3,6.5 to 8.0
1453736700,34f8d1e6-c829-11e5-8df1-6c40089af1d0,1.0,5.0
1454255100,e19a5580-c380-11e5-827f-6c40089af1d0,1.0,3.5 to 5.0
1453986900,a1d0daba-c9bd-11e5-b268-6c40089af1d0,1.0,9.5 to 11.0
1453737600,5a554b68-c6a1-11e5-9cee-6c40089af1d0,1.0,2.0
1454425200,6ad4ce6b-ca7e-11e5-bf09-6c40089af1d0,1.0,2.0 to 3.5
1453738500,4e7b33c7-c515-11e5-a07d-6c40089af1d0,1.0,3.5 to 5.0
1453739400,59d244a1-c842-11e5-8e78-6c40089af1d0,1.0,5.0
1454427000,89905f61-c81a-11e5-9ef0-6c40089af1d0,1.0,5.0 to 6.5
1453740300,a39935d1-c506-11e5-9ee0-6c40089af1d0,1.3 to 1.45,6.5 to 8.0
1453987800,03f429f0-c825-11e5-84b0-6c40089af1d0,1.0,5.0
1453988700,f6bcfe3d-c9ae-11e5-a03b-6c40089af1d0,1.0,6.5 to 8.0
1453989600,058a94fd-c36e-11e5-8360-6c40089af1d0,1.6,8.0 to 9.5
1453742100,0a22bd0f-c5bf-11e5-b784-6c40089af1d0,1.15 to 1.3,5.0
1453743900,d472b2f5-c369-11e5-b824-6c40089af1d0,1.15 to 1.3,6.5 to 8.0
1454428800,41f10bd9-c4fe-11e5-971d-6c40089af1d0,1.0,5.0 to 6.5
1454083200,bacc5aa8-c81e-11e5-9bb0-6c40089af1d0,1.0,3.5 to 5.0
1454246100,cd9c9663-c770-11e5-bf20-6c40089af1d0,1.0,3.5 to 5.0
1453994100,b06256f5-c37c-11e5-96c8-6c40089af1d0,1.0,5.0 to 6.5
1453995900,d2892a28-c9c1-11e5-9eeb-6c40089af1d0,1.15 to 1.3,6.5 to 8.0
1453998600,ba5e676e-c9bf-11e5-9d2d-6c40089af1d0,1.0,5.0
1453819500,360b8917-c513-11e5-9c82-6c40089af1d0,1.0,2.0
1454590800,97e28d45-c37a-11e5-8bb1-6c40089af1d0,1.0,5.0
1454249700,72bc3451-c502-11e5-8d8c-6c40089af1d0,1.0,6.5 to 8.0
1454000400,3b3e08cc-c5c3-11e5-ae06-6c40089af1d0,1.15 to 1.3,6.5 to 8.0
1454250600,fe9123f8-c5d3-11e5-88f5-6c40089af1d0,1.0,5.0 to 6.5
1454002200,bbf16182-c508-11e5-8e3b-6c40089af1d0,1.0,6.5 to 8.0
1454003100,1d7f376e-c511-11e5-a881-6c40089af1d0,1.0,3.5 to 5.0
1454507100,fedbe5ee-c774-11e5-8203-6c40089af1d0,1.0,3.5 to 5.0
1454256000,91c1214f-c43f-11e5-97cd-6c40089af1d0,1.0,3.5 to 5.0
1454256900,09016085-ca76-11e5-8d32-6c40089af1d0,1.0,2.0 to 3.5
1454257800,70d72f78-c9b9-11e5-8328-6c40089af1d0,1.0,8.0
1454259600,f7fdf38c-c839-11e5-b8b4-6c40089af1d0,1.0,3.5 to 5.0
1454159700,15937f85-ca8d-11e5-a95c-6c40089af1d0,1.0,3.5 to 5.0
1453814100,bc0d8fd7-c6a9-11e5-980d-6c40089af1d0,1.0,3.5 to 5.0
1453816800,6c6a77eb-c5c7-11e5-9399-6c40089af1d0,1.6,2.0 to 3.5
1453818600,4d604726-c82b-11e5-ab33-6c40089af1d0,1.0,2.0 to 3.5
1454174100,6befa035-c909-11e5-86ee-6c40089af1d0,1.0,3.5 to 5.0
1454426100,968f84b8-c9d2-11e5-85f0-6c40089af1d0,1.0,2.0
1453991400,fce93a66-ca8a-11e5-bcdf-6c40089af1d0,1.0,2.0 to 3.5
1454504400,2e1366b0-ca8f-11e5-aa64-6c40089af1d0,1.0,5.0
1454505300,55231e17-c450-11e5-ab8f-6c40089af1d0,1.0,2.0 to 3.5
1454506200,8482cfd4-c90b-11e5-8d0f-6c40089af1d0,1.0,5.0
1454072400,3ca1540f-c44e-11e5-a9ca-6c40089af1d0,1.0,2.0 to 3.5
1454508900,0f508c28-c9b1-11e5-9e20-6c40089af1d0,1.0,3.5 to 5.0
1453822200,7733f07d-ca95-11e5-8c75-6c40089af1d0,1.0,5.0 to 6.5
1453823100,468a97a6-c8f0-11e5-b354-6c40089af1d0,1.0,11.0
1453824000,cde9e626-c42e-11e5-bfae-6c40089af1d0,1.0,2.0 to 3.5
1453825800,22ad4419-c903-11e5-8b6d-6c40089af1d0,1.0,3.5 to 5.0
1454075100,215a5ffa-ca78-11e5-a6ed-6c40089af1d0,1.0,5.0 to 6.5
1453992300,65af552b-c82d-11e5-9147-6c40089af1d0,1.0,3.5 to 5.0
1454331600,e53a4ac5-c8e7-11e5-8d51-6c40089af1d0,1.0,9.5 to 11.0
1453826700,b5a5d29e-c76e-11e5-a153-6c40089af1d0,1.0,5.0
1454512500,965d457a-c831-11e5-a24f-6c40089af1d0,1.15 to 1.3,5.0
1454076900,7dda40a6-c68e-11e5-935b-6c40089af1d0,1.15 to 1.3,2.0 to 3.5
1454336100,c0d1d43a-ca9b-11e5-a323-6c40089af1d0,1.0,5.0
1453829400,8adaa0f5-c6a5-11e5-b7a2-6c40089af1d0,1.0,5.0
1454337900,c7bbce2b-c694-11e5-b05f-6c40089af1d0,1.15 to 1.3,6.5 to 8.0
1454517000,0a0b6c73-c901-11e5-99b9-6c40089af1d0,1.0,2.0
1454082300,fd17e07a-c8e9-11e5-9d5e-6c40089af1d0,1.15 to 1.3,11.0
1454517900,848cc133-c5c9-11e5-a2e2-6c40089af1d0,1.0,5.0
1454084100,a393efbd-c365-11e5-a52f-6c40089af1d0,1.0,5.0
1454085000,6bbe7e40-c768-11e5-9899-6c40089af1d0,1.0,8.0
1454519700,d457415c-c50a-11e5-aa4d-6c40089af1d0,1.0,5.0
1454085900,f21370ab-c75d-11e5-83e2-6c40089af1d0,1.0,3.5 to 5.0
1454340600,4ce57833-c9cc-11e5-a54d-6c40089af1d0,1.0,5.0 to 6.5
1454520600,c275e794-c443-11e5-be4d-6c40089af1d0,1.0,3.5 to 5.0
1453999500,c8b400a3-c37e-11e5-ae8f-6c40089af1d0,1.0,2.0 to 3.5
1454088600,3678267a-c372-11e5-9692-6c40089af1d0,1.0,3.5 to 5.0
1454089500,673ad482-c517-11e5-8d0b-6c40089af1d0,1.0,3.5 to 5.0
1454332500,605ebd7d-c43b-11e5-b0ae-6c40089af1d0,1.0,5.0 to 6.5
1454345100,7916ffc7-c43d-11e5-b194-6c40089af1d0,1.0,6.5 to 8.0
1454343300,78b2fbc0-c5de-11e5-b510-6c40089af1d0,1.0,5.0
1453827600,17699b87-c5d6-11e5-aac2-6c40089af1d0,1.0,5.0
1454346000,a9d129d1-c441-11e5-a9d4-6c40089af1d0,1.0,6.5 to 8.0
1454346900,d99543dc-c8fc-11e5-8cda-6c40089af1d0,1.15 to 1.3,5.0 to 6.5
1454518800,f1e6292b-c8fe-11e5-a101-6c40089af1d0,1.0,8.0
1454247900,a83de354-ca99-11e5-9052-6c40089af1d0,1.0,2.0
1454429700,ec98bf0a-c50c-11e5-a25a-6c40089af1d0,1.0,3.5 to 5.0
1454248800,0ba63b2e-c44a-11e5-a117-6c40089af1d0,1.0,3.5 to 5.0
1454591700,5f71e5cf-c751-11e5-b39e-6c40089af1d0,1.0,2.0 to 3.5
1454433300,32fd8242-cb3f-11e5-bc17-6c40089af1d0,1.0,3.5 to 5.0
1453900500,23ec80a3-c44c-11e5-8c80-6c40089af1d0,1.0,5.0 to 6.5
1453901400,2fbedc0a-c437-11e5-bba6-6c40089af1d0,1.0,5.0
1453904100,1c4b1ad4-c827-11e5-99e0-6c40089af1d0,1.0,2.0 to 3.5
1453905000,28f2f342-c83e-11e5-a0a2-6c40089af1d0,1.0,2.0 to 3.5
1453905900,04fa33eb-c6b0-11e5-9e17-6c40089af1d0,1.0,6.5 to 8.0
1453821300,279df8ee-c9b3-11e5-9054-6c40089af1d0,1.3,5.0 to 6.5
1453906800,9d181b47-c5cb-11e5-9f33-6c40089af1d0,1.0,5.0
1454160600,1252fa17-c385-11e5-a640-6c40089af1d0,1.0,5.0
1453908600,b4342778-c8e3-11e5-b4cb-6c40089af1d0,1.0,11.0
1453909500,4e72bac5-c374-11e5-8c23-6c40089af1d0,1.0,3.5 to 5.0
1453911300,16d8753d-c777-11e5-a0a8-6c40089af1d0,1.0,5.0
