date,weather,feels_like
1453681447,Mostly Cloudy,32.5 to 37.3333333333
1453683608,Overcast,32.5 to 37.3333333333
1453687201,Overcast,32.5 to 37.3333333333
1453690801,Overcast,32.5 to 37.3333333333
1453694401,Overcast,32.5 to 37.3333333333
1453698002,Mostly Cloudy,32.5 to 37.3333333333
1453701602,Mostly Cloudy,32.5 to 37.3333333333
1453705201,Overcast,32.5 to 37.3333333333
1453708801,Mostly Cloudy,27.6666666667 to 32.5
1453712401,Overcast,27.6666666667 to 32.5
1453716001,Overcast,27.6666666667 to 32.5
1453719601,Overcast,27.6666666667 to 32.5
1453723201,Overcast,27.6666666667 to 32.5
1453726801,Overcast,27.6666666667 to 32.5
1453730401,Overcast,27.6666666667 to 32.5
1453734001,Mostly Cloudy,32.5 to 37.3333333333
1453737601,Overcast,32.5 to 37.3333333333
1453741201,Overcast,37.3333333333 to 42.1666666667
1453744801,Overcast,37.3333333333 to 42.1666666667
1453748401,Overcast,32.5 to 37.3333333333
1453752001,Overcast,32.5 to 37.3333333333
1453755601,Overcast,37.3333333333 to 42.1666666667
1453759201,Overcast,37.3333333333 to 42.1666666667
1453762802,Overcast,37.3333333333 to 42.1666666667
1453766401,Rain,37.3333333333 to 42.1666666667
1453770001,Rain,37.3333333333 to 42.1666666667
1453773602,Overcast,32.5 to 37.3333333333
1453777201,Overcast,32.5 to 37.3333333333
1453780801,Overcast,32.5 to 37.3333333333
1453784402,Overcast,37.3333333333 to 42.1666666667
1453788002,Overcast,32.5 to 37.3333333333
1453791601,Overcast,27.6666666667 to 32.5
1453795202,Overcast,27.6666666667 to 32.5
1453798801,Overcast,22.8333333333 to 27.6666666667
1453802401,Overcast,22.8333333333 to 27.6666666667
1453806001,Overcast,22.8333333333 to 27.6666666667
1453809602,Overcast,22.8333333333 to 27.6666666667
1453813202,Overcast,22.8333333333 to 27.6666666667
1453816801,Overcast,22.8333333333 to 27.6666666667
1453820401,Overcast,18.0 to 22.8333333333
1453824003,Overcast,18.0 to 22.8333333333
1453827601,Overcast,18.0 to 22.8333333333
1453831201,Overcast,18.0 to 22.8333333333
1453834801,Overcast,18.0 to 22.8333333333
1453838401,Overcast,18.0 to 22.8333333333
1453842001,Overcast,18.0 to 22.8333333333
1453845601,Overcast,18.0 to 22.8333333333
1453849202,Overcast,18.0 to 22.8333333333
1453852802,Overcast,18.0 to 22.8333333333
1453856401,Overcast,18.0 to 22.8333333333
1453860001,Overcast,18.0 to 22.8333333333
1453863601,Overcast,18.0 to 22.8333333333
1453867201,Overcast,18.0 to 22.8333333333
1453870834,Clear,18.0 to 22.8333333333
1453874401,Clear,18.0 to 22.8333333333
1453878001,Clear,18.0 to 22.8333333333
1453881604,Clear,22.8333333333 to 27.6666666667
1453885202,Clear,22.8333333333 to 27.6666666667
1453888802,Overcast,27.6666666667 to 32.5
1453892401,Overcast,27.6666666667 to 32.5
1453896001,Overcast,27.6666666667 to 32.5
1453899601,Overcast,27.6666666667 to 32.5
1453903202,Overcast,18
