utc_timestamp,date_string,prediction,california_train,weather,feels_like,tweet,amen_train,uber_surging,uber_eta,72_bus,52_bus
1453726801,2016-01-25 07:00,1,1.0 to 4.0,Overcast,27.6666666667 to 32.5,0,17.6666666667 to 21.8333333333,1.0 to 1.15,2.0 to 3.5,6.0 to 11.0,16.0 to 21.0
1453727702,2016-01-25 07:15,2,1.0 to 4.0,Overcast,27.6666666667 to 32.5,0,13.5 to 17.6666666667,1.0 to 1.15,2.0 to 3.5,1.0 to 6.0,16.0 to 21.0
1453728603,2016-01-25 07:30,1,1.0 to 4.0,Overcast,27.6666666667 to 32.5,0,13.5 to 17.6666666667,1.0 to 1.15,3.5 to 5.0,6.0 to 11.0,11.0 to 16.0
1453729504,2016-01-25 07:45,1,1.0 to 4.0,Overcast,27.6666666667 to 32.5,0,13.5 to 17.6666666667,1.0 to 1.15,3.5 to 5.0,6.0 to 11.0,11.0 to 16.0
1453730401,2016-01-25 08:00,2,13.0 to 16.0,Overcast,27.6666666667 to 32.5,0,1.0 to 5.16666666667,1.0 to 1.15,3.5 to 5.0,1.0 to 6.0,16.0 to 21.0
1453731302,2016-01-25 08:15,2,1.0 to 4.0,Overcast,27.6666666667 to 32.5,0,1.0 to 5.16666666667,1.0 to 1.15,3.5 to 5.0,1.0 to 6.0,11.0 to 16.0
1453732203,2016-01-25 08:30,2,16.0 to 19.0,Overcast,32.5 to 37.3333333333,0,1.0 to 5.16666666667,1.0 to 1.15,3.5 to 5.0,1.0 to 6.0,1.0 to 6.0
1453733104,2016-01-25 08:45,2,1.0 to 4.0,Overcast,32.5 to 37.3333333333,0,13.5 to 17.6666666667,1.0 to 1.15,3.5 to 5.0,1.0 to 6.0,6.0 to 11.0
1453734001,2016-01-25 09:00,1,1.0 to 4.0,Mostly Cloudy,32.5 to 37.3333333333,0,1.0 to 5.16666666667,1.0 to 1.15,3.5 to 5.0,1.0 to 6.0,6.0 to 11.0
1453734902,2016-01-25 09:15,1,1.0 to 4.0,Mostly Cloudy,32.5 to 37.3333333333,0,17.6666666667 to 21.8333333333,1.3 to 1.45,3.5 to 5.0,1.0 to 6.0,1.0 to 6.0
1453735803,2016-01-25 09:30,2,1.0 to 4.0,Mostly Cloudy,32.5 to 37.3333333333,0,17.6666666667 to 21.8333333333,1.15 to 1.3,6.5 to 8.0,6.0 to 11.0,11.0 to 16.0
1453736704,2016-01-25 09:45,2,1.0 to 4.0,Mostly Cloudy,32.5 to 37.3333333333,0,13.5 to 17.6666666667,1.0 to 1.15,3.5 to 5.0,1.0 to 6.0,1.0 to 6.0
