requested_time,route,direction,stop_name,eta,delayed
1453727017,Blue,5,Damen,19.0,0
1453727101,Blue,5,Damen,5.5 to 10.0,0
1453727257,Blue,5,Damen,5.5 to 10.0,0
1453727612,Blue,5,Damen,10.0 to 14.5,0
1453727914,Blue,5,Damen,19.0,0
1453728000,Blue,5,Damen,5.5 to 10.0,0
1453728118,Blue,5,Damen,5.5 to 10.0,0
1453728536,Blue,5,Damen,10.0 to 14.5,0
1453728823,Blue,5,Damen,19.0,0
1453728866,Blue,5,Damen,5.5 to 10.0,0
1453729117,Blue,5,Damen,5.5 to 10.0,0
1453729287,Blue,5,Damen,10.0 to 14.5,0
1453729476,Blue,5,Damen,14.5 to 19.0,0
1453729850,Blue,5,Damen,5.5 to 10.0,0
1453730094,Blue,5,Damen,10.0,0
1453730202,Blue,5,Damen,10.0 to 14.5,0
1453730439,Blue,5,Damen,1.0,0
1453730551,Blue,5,Damen,1.0 to 5.5,0
1453731399,Blue,5,Damen,1.0 to 5.5,0
1453731592,Blue,5,Damen,1.0 to 5.5,0
1453731715,Blue,5,Damen,5.5 to 10.0,0
1453732406,Blue,5,Damen,1.0 to 5.5,0
1453732693,Blue,5,Damen,5.5 to 10.0,0
1453732918,Blue,5,Damen,10.0 to 14.5,0
1453733078,Blue,5,Damen,14.5 to 19.0,0
1453733154,Blue,5,Damen,1.0,0
1453733403,Blue,5,Damen,5.5 to 10.0,0
1453733504,Blue,5,Damen,5.5 to 10.0,0
1453734148,Blue,5,Damen,1.0 to 5.5,0
1453734322,Blue,5,Damen,5.5 to 10.0,0
1453734482,Blue,5,Damen,5.5 to 10.0,0
1453734733,Blue,5,Damen,10.0 to 14.5,0
1453735033,Blue,5,Damen,14.5 to 19.0,0
1453735051,Blue,5,Damen,1.0 to 5.5,0
1453735296,Blue,5,Damen,5.5 to 10.0,0
1453735528,Blue,5,Damen,10.0 to 14.5,0
1453735959,Blue,5,Damen,14.5 to 19.0,0
1453736086,Blue,5,Damen,5.5 to 10.0,0
1453736616,Blue,5,Damen,10.0 to 14.5,0
1453736858,Blue,5,Damen,14.5 to 19.0,0
1453736856,Blue,5,Damen,1.0 to 5.5,0
1453737029,Blue,5,Damen,5.5 to 10.0,0
1453737331,Blue,5,Damen,10.0 to 14.5,0
1453737737,Blue,5,Damen,14.5 to 19.0,0
1453737999,Blue,5,Damen,5.5 to 10.0,0
1453738417,Blue,5,Damen,10.0 to 14.5,0
1453738563,Blue,5,Damen,1.0 to 5.5,0
1453739019,Blue,5,Damen,5.5 to 10.0,0
1453739696,Blue,5,Damen,5.5 to 10.0,0
1453740494,Blue,5,Damen,19.0,0
1453740507,Blue,5,Damen,1.0 to 5.5,0
1453741052,Blue,5,Damen,10.0 to 14.5,0
1453741559,Blue,5,Damen,5.5 to 10.0,0
1453742215,Blue,5,Damen,14.5 to 19.0,0
1453742318,Blue,5,Damen,1.0 to 5.5,0
1453742496,Blue,5,Damen,5.5 to 10.0,0
1453743389,Blue,5,Damen,5.5 to 10.0,0
1453744107,Blue,5,Damen,19.0,0
1453744218,Blue,5,Damen,5.5 to 10.0,0
1453744497,Blue,5,Damen,10.0,0
1453813278,Blue,5,Damen,14.5 to 19.0,0
1453813294,Blue,5,Damen,1.0 to 5.5,0
1453813696,Blue,5,Damen,5.5 to 10.0,0
1453814015,Blue,5,Damen,10.0 to 14.5,0
1453814320,Blue,5,Damen,19.0,0
1453814427,Blue,5,Damen,5.5 to 10.0,0
1453814557,Blue,5,Damen,5.5 to 10.0,0
1453814850,Blue,5,Damen,10.0 to 14.5,0
1453815142,Blue,5,Damen,14.5 to 19.0,0
1453815076,Blue,5,Damen,1.0 to 5.5,0
1453815515,Blue,5,Damen,5.5 to 10.0,0
1453815611,Blue,5,Damen,10.0 to 14.5,0
1453815876,Blue,5,Damen,14.5 to 19.0,0
1453816058,Blue,5,Damen,14.5 to 19.0,0
1453816189,Blue,5,Damen,1.0 to 5.5,0
1453816377,Blue,5,Damen,5.5 to 10.0,0
1453816546,Blue,5,Damen,10.0 to 14.5,0
1453816838,Blue,5,Damen,1.0,0
1453817110,Blue,5,Damen,5.5 to 10.0,0
1453817298,Blue,5,Damen,5.5 to 10.0,0
1453817737,Blue,5,Damen,1.0,0
1453817971,Blue,5,Damen,1.0 to 5.5,0
1453818182,Blue,5,Damen,5.5 to 10.0,0
1453818693,Blue,5,Damen,1.0 to 5.5,0
1453819053,Blue,5,Damen,5.5 to 10.0,0
1453819584,Blue,5,Damen,14.5 to 19.0,0
1453819715,Blue,5,Damen,1.0 to 5.5,0
1453819899,Blue,5,Damen,5.5 to 10.0,0
1453820039,Blue,5,Damen,10.0 to 14.5,0
